Date,Value,source,feature_code,description
2020-03-31,343165.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-03-31,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-03-31,3.75,bcb,SELIC,Taxa Selic
2020-03-31,886.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-03-31,5.192699909210205,yahoo,DOLAR,Dólar/Real
2020-04-01,-38542358.0,bcb,CDS,Brazil CDS 5Y
2020-04-01,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-01,4890.9,bcb,BALANCA_COMERCIAL,Balança Comercial
2020-04-01,-9.47,bcb,DIVIDA_PUBLICA,Dívida Pública
2020-04-01,11857.0,bcb,FRETES,Índice de Fretes
2020-04-01,3.75,bcb,SELIC,Taxa Selic
2020-04-01,5.203499794006348,yahoo,DOLAR,Dólar/Real
2020-04-01,342318.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-01,334.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-01,7212.0,bcb,MILHO_BR,Milho Brasil - Preço Médio Atacado
2020-04-01,862.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-01,5599.0,bcb,SOJA_BR,Soja Brasil - Preço Médio Atacado
2020-04-01,974.8,bcb,INVESTIMENTO_ESTRANGEIRO,Investimento Estrangeiro
2020-04-01,567968.1,bcb,PIB_BR,PIB Brasil
2020-04-02,341560.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-02,3.75,bcb,SELIC,Taxa Selic
2020-04-02,5.248199939727783,yahoo,DOLAR,Dólar/Real
2020-04-02,858.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-02,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-02,333.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-03,854.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-03,3.75,bcb,SELIC,Taxa Selic
2020-04-03,340939.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-03,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-03,330.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-03,5.255300045013428,yahoo,DOLAR,Dólar/Real
2020-04-04,3.75,bcb,SELIC,Taxa Selic
2020-04-05,3.75,bcb,SELIC,Taxa Selic
2020-04-06,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-06,855.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-06,327.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-06,3.75,bcb,SELIC,Taxa Selic
2020-04-06,340138.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-06,5.348499774932861,yahoo,DOLAR,Dólar/Real
2020-04-07,0.014227,bcb,DI_FUTURO,Taxa DI-Over
